robot,task,mission,start,end,duration,bucket_start,bucket_end
0,2,2,3.039223,7.039223,4.000000,0,0
0,16,1,10.000000,15.000000,5.000000,1,1
0,3,1,16.535339,19.535339,3.000000,1,1
0,10,0,23.239520,28.239520,5.000000,2,2
0,7,1,31.651217,34.651217,3.000000,3,3
1,18,2,3.048172,6.048172,3.000000,0,0
1,5,2,6.999000,9.999000,3.000000,0,0
1,9,0,11.015955,15.015955,4.000000,1,1
1,1,1,20.000000,22.000000,2.000000,2,2
1,17,1,24.899376,29.899376,5.000000,2,2
1,6,1,30.725844,34.725844,4.000000,3,3
2,11,0,4.999000,9.999000,5.000000,0,0
2,0,0,15.999000,19.999000,4.000000,1,1
2,12,0,22.478021,27.478021,5.000000,2,2
2,13,0,30.000000,35.000000,5.000000,3,3
3,8,0,0.833690,4.833690,4.000000,0,0
3,15,0,6.099012,8.099012,2.000000,0,0
3,14,2,12.788567,15.788567,3.000000,1,1
3,19,1,23.161030,26.161030,3.000000,2,2
3,4,1,30.000000,35.000000,5.000000,3,3
