robot,from,to,from_task,to_task,travel,depart_earliest,arrive_earliest,start_at_to,wait_at_to,switch_mission
0,depot_0,task 12,-1,12,1.291579,0.000000,1.291579,1.291579,0.000000,0
0,task 12,task 15,12,15,0.247924,6.291579,6.539503,6.539503,0.000000,0
0,task 15,task 11,15,11,0.171519,8.539503,8.711021,10.000000,1.288979,0
0,task 11,task 0,11,0,2.728747,15.000000,17.728747,20.000000,2.271253,0
0,task 0,task 16,0,16,4.701676,24.000000,28.701676,30.000000,1.298324,1
0,task 16,end_0,16,-1,3.962424,35.000000,38.962424,,0.000000,0
1,depot_1,task 2,-1,2,1.583163,0.000000,1.583163,1.583163,0.000000,0
1,task 2,task 10,2,10,4.077511,5.583163,9.660674,10.000000,0.339326,1
1,task 10,task 17,10,17,3.665543,15.000000,18.665543,20.000000,1.334457,1
1,task 17,task 4,17,4,3.759551,25.000000,28.759551,30.000000,1.240449,0
1,task 4,end_1,4,-1,3.797100,35.000000,38.797100,,0.000000,0
2,depot_2,task 5,-1,5,0.926609,0.000000,0.926609,0.926609,0.000000,0
2,task 5,task 14,5,14,1.459370,3.926609,5.385979,5.385979,0.000000,0
2,task 14,task 18,14,18,2.019955,8.385979,10.405935,10.405935,0.000000,0
2,task 18,task 1,18,1,1.523766,13.405935,14.929701,20.000000,5.070299,1
2,task 1,task 7,1,7,2.637002,22.000000,24.637002,24.637002,0.000000,0
2,task 7,task 3,7,3,1.021627,27.637002,28.658629,30.000000,1.341371,0
2,task 3,end_2,3,-1,2.592787,33.000000,35.592787,,0.000000,0
3,depot_3,task 13,-1,13,2.367919,0.000000,2.367919,2.367919,0.000000,0
3,task 13,task 9,13,9,1.661253,7.367919,9.029172,10.000000,0.970828,0
3,task 9,task 8,9,8,1.950565,14.000000,15.950565,15.950565,0.000000,0
3,task 8,task 19,8,19,2.697783,19.950565,22.648349,22.648349,0.000000,1
3,task 19,task 6,19,6,0.574712,25.648349,26.223060,30.000000,3.776940,0
3,task 6,end_3,6,-1,2.906988,34.000000,36.906988,,0.000000,0
