robot,seq,from_label,to_label,from_task,to_task,from_mission,to_mission,from_x,from_y,to_x,to_y,travel
0,0,depot_0,task 12,-1,12,-1,0,80,0,116.6441362,-53.17562298,1.291578816
0,1,task 12,task 15,12,15,0,0,116.6441362,-53.17562298,114.3174871,-65.35151274,0.2479238493
0,2,task 15,task 11,15,11,0,0,114.3174871,-65.35151274,105.9913574,-63.29672452,0.1715186167
0,3,task 11,task 0,11,0,0,0,105.9913574,-63.29672452,144.3214686,67.64584241,2.728747204
0,4,task 0,task 16,0,16,0,1,144.3214686,67.64584241,-87.69432763,105.501746,4.701676261
0,5,task 16,end_0,16,-1,1,-1,-87.69432763,105.501746,80,0,3.9624238
1,0,depot_1,task 2,-1,2,-1,2,-40,69.2820323,-71.92848646,-3.151273761,1.58316292
1,1,task 2,task 10,2,10,2,0,-71.92848646,-3.151273761,128.0072645,-43.03786963,4.077511253
1,2,task 10,task 17,10,17,0,1,128.0072645,-43.03786963,17.48711166,103.1668226,3.665543136
1,3,task 17,task 4,17,4,1,1,17.48711166,103.1668226,-101.0613752,249.0497371,3.759551488
1,4,task 4,end_1,4,-1,1,-1,-101.0613752,249.0497371,-40,69.2820323,3.797099905
2,0,depot_2,task 5,-1,5,-1,2,-40,-69.2820323,-43.79393647,-115.4569049,0.9266094788
2,1,task 5,task 14,5,14,2,2,-43.79393647,-115.4569049,-98.53679717,-163.7023164,1.4593698
2,2,task 14,task 18,14,18,2,2,-98.53679717,-163.7023164,-37.66629246,-83.10870534,2.019955296
2,3,task 18,task 1,18,1,2,1,-37.66629246,-83.10870534,-68.59212806,-13.47932519,1.523766109
2,4,task 1,task 7,1,7,1,1,-68.59212806,-13.47932519,17.19048878,86.64955412,2.637002072
2,5,task 7,task 3,7,3,1,1,17.19048878,86.64955412,-26.15074876,59.61546709,1.021627081
2,6,task 3,end_2,3,-1,1,-1,-26.15074876,59.61546709,-40,-69.2820323,2.592787466
3,0,depot_3,task 13,-1,13,-1,0,80,0,90.02284984,-117.9709398,2.367918931
3,1,task 13,task 9,13,9,0,0,90.02284984,-117.9709398,6.961954162,-118.5115784,1.661253103
3,2,task 9,task 8,9,8,0,0,6.961954162,-118.5115784,58.44232277,-35.67719986,1.950565314
3,3,task 8,task 19,8,19,0,1,58.44232277,-35.67719986,0.24057997,86.00946037,2.697783249
3,4,task 19,task 6,19,6,1,1,0.24057997,86.00946037,-23.81139653,101.733219,0.5747118086
3,5,task 6,end_3,6,-1,1,-1,-23.81139653,101.733219,80,0,2.906988399
